Nazwa instancji,data20a.txt
Wynik optymalny,475
Sredni czas wykonania,2318.8
Sredni blad bezwzgledny,537.9
Sredni blad wzgledny,1.13242
Sredni blad wzgledny(w procentach),113.242%
Numer proby,Czas wykonania
1,2443
2,2251
3,2555
4,2291
5,2226
6,2230
7,2374
8,2224
9,2225
10,2369
